SURVEY_YEAR,HAULJOIN,CRUISE,VESSEL,HAUL,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,NET_WIDTH,DISTANCE_FISHED,STRATUM_NAME,TOTAL_AREA,TOWS_IN_STRATUM,TOW_CODE,DISTRICT_ID,DISTRICT_CODE,SPECIES_ID,SPECIES_CODE,SPECIES_NAME,SGD_ID,SIZE_CATEGORY,SIZE_GROUP,CRAB_NUM,CRAB_GM,CRAB_MT,CRAB_LBS,CRAB_CPUENUM,CRAB_CPUEWGT_MT,CRAB_CPUEWGT_LBS,LOAD_DATE
2011,-7982,201101,89,145,59.50354,-173.49058,ON2625,16.757,2.855,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,19,32698.8130998271378565130987722936695888,.032698813099827137856513098772293669589,72.0885430674847918672875043488142702685,1362.17587004541555679778455487286064635,2.34429127282681385067689507946861629782,5168.27757227671086293379865069465269321,12-AUG-18
2011,-7981,201101,89,144,59.66458,-173.86953,O-26,16.222,2.813,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,9348.19549821723984918860194054104860477,.009348195498217239849188601940541048605,20.6092432688348404825906135174725780603,450.981872248496871231180106177978842604,.702644451321830137137410065473046599713,1549.06585250064468173463583609720326309,12-AUG-18
2011,-7980,201101,89,143,59.83808,-174.25024,PO2726,16.948,3.464,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,13,23170.0332776218803454663483017912689075,.023170033277621880345466348301791268908,51.0811795128346947402158582976258026923,759.502097751709759262233681547813353901,1.353668375333133956360297144133564405,2984.32792274073924799790201239717374857,12-AUG-18
2011,-7979,201101,89,142,59.99358,-173.95188,P-26,17.221,2.955,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,12,21059.4135603605384623780214941871986733,.021059413560360538462378021494187198673,46.428059538040222239933168686175782848,808.811575590119213536482341824427482772,1.41942478856326077078196152234028962041,3129.29599887951454532030397314272829702,12-AUG-18
2011,-7978,201101,89,141,60.16561,-174.35217,QP2726,16.364,2.859,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,8147.40135535177460636576814125410618133,.008147401355351774606365768141254106181,17.9619453372900959801099293301331897948,439.875312412836245729277444577047686371,.597306786089687885453645461701120641934,1316.83605279712804713369070895333397615,12-AUG-18
2011,-7977,201101,89,140,60.12566,-173.76866,QP2625,16.616,2.796,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,874.463747346115759908413201613468077974,.000874463747346115759908413201613468078,1.92786255938592034952607568950234654849,73.8275257054454195887853472218101434778,.064559494785675490079294584737610333566,142.329322659629831368155281214642334387,12-AUG-18
2011,-7976,201101,89,139,60.33388,-173.42349,Q-25,17.071,1,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3,2808.68469720375685282210947395981924796,.002808684697203756852822109473959819248,6.19208982109594937490193905190563448062,602.759767196805166583698346864423087206,.56432071140525523061532590561234721256,1244.1142063418337995338998805465801504,12-AUG-18
2011,-7974,201101,89,137,60.17872,-173.02409,QP2524,16.402,2.986,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,11,14878.7016584194218105837713470341603242,.014878701658419421810583771347034160324,32.8019222598907143970201647599866562298,770.349913790968911745534896381927675511,1.04198241271681343347636418967037192849,2297.17799864407963439270240371637441122,12-AUG-18
2011,-7973,201101,89,136,60.3324,-172.06321,Q-23,16.154,2.918,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,6930.40073461214215706398348053361549697,.006930400734612142157063983480533615497,15.2789182380034704042697791884706310538,436.584032975646627001196183755113311014,.504283717142392179929853311911984578763,1111.7552906421192970373192869773894545,12-AUG-18
2011,-7972,201101,89,135,60.34198,-171.35697,Q-22,16.985,2.876,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2011,-7971,201101,89,134,60.00395,-171.30327,P-22,17.182,2.899,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2011,-7970,201101,89,133,59.99979,-171.97314,P-23,16.483,2.891,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2011,-7969,201101,89,132,59.67475,-171.90317,O-23,17.128,2.964,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
2011,-7968,201101,89,131,59.33787,-171.83029,N-23,17.224,2.853,St. Matthew Single,11629,29,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,592.712333372327267184155246906049670822,.000592712333372327267184155246906049671,1.30670701840142013721573101449082833962,69.798513833521048420864574498538019519,.041370440000186924123286955322283339639,91.206207900250566622767675773568163618,12-AUG-18
1980,8398,198001,31,168,60.00633,-171.27392,P-22,12.19,2.908,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8405,198001,31,175,60.34734,-171.37992,Q-22,12.19,2.574,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8406,198001,31,176,60.32025,-172.07984,Q-23,12.19,2.63,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,14,13191.781771103560271219793586760572996,.013191781771103560271219793586760572996,29.0829005150675374748807541625344461344,1497.78868591443727361250420008625503154,1.4113215345579449638791149699080819516,3111.43138178880842117370845745968454768,12-AUG-18
1980,8407,198001,31,177,60.6725,-172.144,R-23,12.19,2.685,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8408,198001,31,178,60.661,-172.86959,R-24,12.19,3.185,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,10,14470.2785463741119669307264515909039675,.014470278546374111966930726451590903968,31.9015034277897372012446297126711689367,883.423243766532861538660248088551409048,1.27833804116430879064846841722563882355,2818.25296392071766703303203312212940412,12-AUG-18
1980,8409,198001,31,179,60.66383,-173.493,R-25,12.19,2.593,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,6720.84388200217604744291952026001423227,.006720843882002176047442919520260014232,14.816924460176104372460476609717245267,651.068962143403123177932793712773522056,.729288808497166207336723072056064240152,1607.80660507400997574371052545482274763,12-AUG-18
1980,8410,198001,31,180,60.66525,-174.16534,R-26,12.19,3.204,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3,4599.3387413247332856528034889914108894,.004599338741324733285652803488991410889,10.1398062346700932319782589367602885229,263.455340018390183895190345520789909908,.403906783985154114476737203236135899773,890.462033091867367193237228894514147378,12-AUG-18
1980,8411,198001,31,181,60.66242,-174.96584,R-27,12.19,2.982,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8412,198001,31,182,60.66784,-175.63467,R-28,12.19,3.389,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8432,198001,31,202,60.31867,-175.38025,Q-28,12.19,3.297,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1980,8433,198001,31,203,59.99725,-175.23542,P-28,12.19,3.408,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,8425.28819703346416337601181603980602171,.008425288197033464163376011816039806022,18.5745809547756648102135997602782058214,330.246834670939807981294940159863408195,.69560618956518274427802243731205271833,1533.54914141344656573711369178689130356,12-AUG-18
1980,8434,198001,31,204,60.016,-174.60517,P-27,12.19,3.111,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,13,19731.5512608633606946333193446664191512,.019731551260863360694633319344666419151,43.5006242738685776876917096851732448196,1175.76790125854365580225739543897367701,1.78459420112005264995139803866352348235,3934.35674660945516670454735589138313198,12-AUG-18
1980,8435,198001,31,205,60.33925,-174.685,Q-27,12.19,2.871,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,1,1202.1061733184724596008439400288489922,.001202106173318472459600843940028848992,2.65019046356199874151424860458756421708,98.0042853150960349704156353243481796523,.117811556388941859521482012605727831587,259.730022330276746817797330797028663986,12-AUG-18
1980,8436,198001,31,206,60.31758,-174.06775,Q-26,12.19,2.537,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,2,3163.91553293252435990749513750245469109,.003163915532932524359907495137502454691,6.97523975752184517483873592427489892773,221.813404130579989278725493903195604085,.350899437370690693476562354903215239225,773.60083762144090767284876155956470887,12-AUG-18
1980,8437,198001,31,207,59.99925,-173.90608,P-26,12.19,3.537,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,6,8753.70306259024008338928106541159116374,.008753703062590240083389281065411591164,19.2986117967335653011875311685141963235,477.303313213979162680344849900260600139,.696361912444279667492088339970163177364,1535.21522516855234828612087459584478885,12-AUG-18
1980,8438,198001,31,208,60.00992,-173.28892,P-25,12.19,2.426,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,3088.99879844058403911212279063952362116,.003088998798440584039112122790639523621,6.81007662990587327719450239197191065658,463.924654805673069085017788979725678123,.358265675315421708060642909450320796368,789.840612432315912952681343779305604921,12-AUG-18
1980,8439,198001,31,209,60.32783,-173.37442,Q-25,12.19,2.426,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,98,108706.788360653807080427511737695147629,.108706788360653807080427511737695147629,239.657444768427211399803410177532612828,11366.154042738990192582935830003279114,12.6079398163124191181183814863807220475,27795.7493339505633071226361282414254499,12-AUG-18
1980,8441,198001,31,211,59.993,-172.61108,P-24,12.19,2.648,St. Matthew Single,15238,38,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,4,8972.20059511385258307906644351844778278,.008972200595113852583079066443518447783,19.78031639975326534024802978546030041,425.030669395227668278041222078857437737,.953365106222375203770793864873079954041,2101.81028005913253274412872658785919313,12-AUG-18
1983,8792,198301,37,124,60.97892,-172.13809,S-23,16.791,2.593,St. Matthew Single,10827,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8793,198301,37,125,60.66992,-172.10859,R-23,16.791,2.63,St. Matthew Single,10827,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8794,198301,37,126,60.34367,-172.04142,Q-23,16.278,2.648,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,5,8017.32424869768204218119856794636580044,.0080173242486976820421811985679463658,17.6751744053758444427527390611907649029,397.862441633479640950156844908870267079,.637958440190832506958014045643644849705,1406.45760904408402569575629416766826249,12-AUG-18
1983,8795,198301,37,127,60.16325,-172.24975,QP2423,16.278,2.167,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,20,27824.4417117085514309086907985082265821,.027824441711708551430908690798508226582,61.3423936379460191686214367744410861273,1944.69726893484834192157881923154308671,2.70550579031982483895049887362335574225,5964.61926888200197953141903932625374723,12-AUG-18
1983,8796,198301,37,128,60.00684,-171.983,P-23,16.791,2.352,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8797,198301,37,129,59.84109,-172.16692,PO2423,16.791,2.463,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8799,198301,37,131,59.62867,-171.86292,O-23,16.791,2.574,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8800,198301,37,132,59.34884,-171.77817,N-23,16.791,2.426,St. Matthew Single,10827,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8816,198301,37,148,59.03117,-173.07217,M-25,17.665,2.945,St. Matthew Single,10827,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,0,0,0,0,0,0,0,12-AUG-18
1983,8817,198301,37,149,59.36059,-173.13734,N-25,17.446,2.815,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3.33,5314.94128266642215067766228086134811747,.005314941282666422150677662280861348117,11.7174397855644716312467038652805831683,232.569056107086158346472394636014603786,.371198461673968650534058034301544987582,818.352525801906068081092663921288474388,12-AUG-18
1983,8818,198301,37,150,59.53959,-173.3995,ON2625,17.446,2.519,St. Matthew MTCA,7218,27,LEG1,6,STMATT,5,69323,Blue King Crab,125,SIZE_GROUP,MALE_GE90,3,6059.14007872810970986922778665017302611,.006059140078728109709869227786650173026,13.3581172865147096737718660519877338122,234.141924237577308221595081310108440593,.472899572419475090131223596525005842047,1042.56509521859964171895985581138746027,12-AUG-18
