#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	"Fishery,"	2	Trawl	"by-catch,"																																			
#	Surveys:	3	NMFS	Trawl	"Survey,"																																					
#========================================================================================================																																										
1976	# Start	year																																								
2018	# End	year																																								
3	# Number of seasons																																									
3	# Number of fleets (fishing fleets and surveys)																																									
1	# Number of sexes																																									
1	# Number of shell condition types																																									
1	# Number of maturity types																																									
35	# Number of size-classes in the	model																																								
3	# Season recruitment occurs																																									
3	# Season molting and growth occurs																																									
3	# Season to calculate SSB																																									
1	# Season for N output																																									
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																																
35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)																										
1																																										
#	Proportion of the total	natural	mortality to be	applied	each	season																																				
0.33 0.33 0.34  #made up; fix soon																																										
##	SIZE	COMP	LEGEND																																							
##	Sex: 1	"= male,"	"2 = female, 0"	#NAME?																																						
##	Type of	composition: 1	"= retained, 2 ="	"discard, 0 = total composition"																																						
##	Maturity	state:	1	=	"immature,"	2	=	"mature,"	0	=	both	states	combined																													
##	Shell	condition:	1	=	new	"shell,"	2	=	old	"shell,"	0	=	both	shell	types	combined																										
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
#Retained	males																																									
##Year	Season	Fleet	Sex	Type	Shell	Maturity	Nsamp	DataVec																																		
1976	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1977	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.1666667	0	0.1666667	0	0	0.1666667	0.1666667	0	0.3333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4285714	0	0.1428571	0.1428571	0	0	0	0	0.1428571	0	0.1428571	0	0	0
1979	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1363636	0.04545455	0.1363636	0.1363636	0	0	0.1818182	0.1818182	0	0	0.1818182	0	0	0	0	0	0
1980	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0.06451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09677419	0	0.2580645	0.1935484	0.09677419	0.1290323	0.03225806	0	0.09677419	0	0.03225806	0	0	0
1981	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0
1982	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555556	0	0	0	0	0	0.05555556	0	0.05555556	0.1111111	0.05555556	0	0	0	0.2777778	0.1111111	0.1666667	0.1111111	0	0	0
1984	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1428571	0.1428571	0	0	0	0	0	0	0	0.1428571	0	0.1428571	0.1428571	0	0.1428571	0	0	0.1428571	0
1985	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0
1986	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1987	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0
1988	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1989	1	3	1	1	0	0	100	0	0	0.01219512	0.07317073	0.04878049	0.3048781	0.2073171	0.09756098	0	0	0	0	0	0.01219512	0.09756098	0.06097561	0.04878049	0.02439024	0	0	0.01219512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0.02439024	0.04878049	0.1463415	0.09756098	0.06097561	0.02439024	0.04878049	0.02439024	0.03658537	0.04878049	0.08536585	0.1219512	0.09756098	0.07317073	0	0.04878049	0	0.01219512	0	0	0	0	0	0	0	0	0
1991	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0.007435143	0	0	0	0.007370772	0.004913848	0.08644294	0.1805141	0.4433298	0.1734008	0.07926528	0.009892067	0	0	0.007435143	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	1	3	1	1	0	0	100	0	0	0	0	0	0	0.02941176	0	0.009803922	0.009803922	0	0	0	0.01960784	0.009803922	0.05882353	0.07843137	0.1862745	0.1862745	0.2254902	0.07843137	0.06862745	0.01960784	0	0.009803922	0.009803922	0	0	0	0	0	0	0	0	0
1993	1	3	1	1	0	0	100	0	0	0.01315789	0	0	0	0	0	0	0	0.02631579	0.07894737	0.05263158	0.02631579	0.01315789	0	0.01315789	0.02631579	0.1184211	0.1052632	0.1447368	0.07894737	0.1578947	0.07894737	0.03947368	0.02631579	0	0	0	0	0	0	0	0	0
1996	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03330237	0	0.03330237	0	0.03330237	0.06660473	0.05596676	0.1406111	0.1785382	0.1679003	0.06197997	0.1392227	0.05596676	0.03330237	0	0	0	0	0	0	0
1997	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.004405286	0.004405286	0.01321586	0.01762115	0.030837	0.02202643	0.03964758	0.06167401	0.03524229	0.06167401	0.04845815	0.07488987	0.07048458	0.06167401	0.0969163	0.1321586	0.0969163	0.04845815	0.0660793	0.01321586	0	0	0	0	0
1998	1	3	1	1	0	0	100	0	0	0	0	0.004549591	0	0	0	0.000909918	0.004549591	0.004549591	0.004549591	0.006369427	0.009099181	0.02820746	0.02911738	0.02456779	0.02729754	0.05368517	0.07461328	0.05277525	0.05914468	0.07370337	0.04094631	0.05095541	0.07279345	0.08098271	0.121929	0.07461328	0.05186533	0.04276615	0.005459509	0	0	0
1999	1	3	1	1	0	0	100	0.03225806	0	0	0	0	0	0	0	0	0	0.03225806	0.09677419	0	0	0.03225806	0	0	0	0	0.03225806	0.03225806	0.03225806	0	0.03225806	0.09677419	0.03225806	0.03225806	0.06451613	0.1290323	0.1935484	0.06451613	0.03225806	0.03225806	0	0
2000	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0.006060606	0.006060606	0.03030303	0	0.01212121	0.06666667	0.07272727	0.1090909	0.1030303	0.1030303	0.01818182	0	0.02424242	0.03030303	0.01818182	0.03636364	0.02424242	0.04242424	0.01818182	0.02424242	0.05454545	0.03030303	0.07878788	0.04848485	0.01212121	0.03030303	0	0
2001	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0.01515152	0	0.01515152	0.06060606	0.04545455	0.09090909	0.1060606	0.09090909	0.09090909	0.1060606	0.07575758	0.03030303	0.01515152	0.01515152	0.03030303	0	0	0.03030303	0.04545455	0.04545455	0.03030303	0.06060606	0	0	0
2002	1	3	1	1	0	0	100	0	0	0	0	0.005086686	0.005086686	0.0356068	0.09156034	0.1271671	0.1831207	0.1169938	0.1322538	0.05595354	0.02626999	0.01693318	0.005923245	0	0.02088201	0.01579532	0.02877967	0.02483084	0.0256674	0.01382091	0.007897661	0.01298435	0	0.007897661	0.001974415	0.009872076	0.00394883	0.01382091	0.005923245	0.00394883	0	0
2003	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01162791	0.02325581	0.04651163	0.03488372	0.06976744	0.06976744	0.05813953	0.09302326	0.09302326	0.2325581	0.08139535	0.04651163	0.05813953	0.02325581	0.03488372	0.01162791	0	0	0.01162791	0	0
2004	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0.003012048	0	0.01204819	0.05421687	0.03313253	0.07228916	0.07228916	0.07831325	0.0813253	0.09036144	0.1054217	0.08433735	0.06626506	0.04518072	0.03313253	0.04518072	0.03012048	0.04216867	0.01807229	0.01807229	0.003012048	0.006024096	0.003012048	0	0	0.003012048	0
2005	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0.00952381	0	0	0	0	0	0	0	0.00952381	0	0	0.01904762	0.01904762	0.05714286	0.06666667	0.1238095	0.2095238	0.1619048	0.1619048	0.06666667	0.04761905	0.04761905	0	0	0	0
2006	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02985075	0.05970149	0	0.01492537	0.05970149	0.1492537	0.2089552	0.1492537	0.1343284	0.1343284	0.02985075	0	0.02985075	0	0	0
