# Captures																																															
Year, Fleet, Sex, Data																																												
2009	2	3	0	0	0	2	16	462	412	371	247	244	311	303	278	287	243	201	214	235	219	227	236	213	179	155	113	81	56	46	30	13	19	15	13	19	23	16	17	6	5	1	0	0	1	0	0
2010	2	3	0	0	0	6	13	92	146	144	123	85	92	145	156	217	215	226	244	265	299	266	267	244	192	148	93	58	42	27	16	8	9	15	14	17	14	19	17	6	4	1	0	0	1	0	0
2011	2	3	0	0	0	0	5	343	437	423	311	216	170	119	109	99	118	147	174	178	182	159	173	181	142	123	82	75	44	33	15	14	4	5	4	3	6	7	4	2	2	0	0	0	0	0	0
# Marks																																															
Year, Fleet, Sex, Data																																												
1989	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	7	1	3	1	3	3	3	9	15	14	37	36	26	29	20	20	30	14	4	2	2	1	1	2	1	0	0
1990	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	0	1	1	2	4	0	4	2	10	11	8	14	5	10	20	7	7	8	3	0	2	1	0	0	0
1991	1	3	0	0	0	0	0	0	0	0	0	0	4	2	0	2	8	3	7	3	6	7	9	9	9	11	6	25	20	34	25	40	45	38	52	37	42	37	15	11	6	4	4	0	1	2	0
1992	1	3	0	0	0	0	0	0	0	0	0	0	2	3	2	3	5	6	5	4	6	8	1	2	3	10	4	9	18	17	23	19	24	32	36	30	22	13	11	8	2	2	2	0	1	0	0
1993	1	3	0	0	0	0	0	0	0	0	0	1	1	3	3	10	9	10	6	9	8	5	4	4	2	5	4	5	2	12	10	18	13	16	19	16	14	11	9	6	3	1	2	0	1	0	1
1994	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	2	1	1	6	6	3	9	4	5	5	2	0	1	1	0	0	1	0
1995	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	5	1	3	1	1	0	1	0	0	0	0	0	0	0
