"","Param","Lower","MLE","Upper","final_gradient"
"49","beta2_ct",-50,-7.29545969064976,50,0.000110337099091806
"50","beta2_ct",-50,-7.58201054192332,50,7.718161378234e-05
"51","beta2_ct",-50,-7.80126494186641,50,-0.000137344131505568
"52","beta2_ct",-50,-6.80224117273846,50,2.16311596989982e-06
"53","beta2_ct",-50,-7.81311716174092,50,0.000126998784292454
"54","beta2_ct",-50,-8.13091585227101,50,-1.05589268439843e-07
"55","beta2_ct",-50,-8.36213694457796,50,-0.000104906983023678
"56","beta2_ct",-50,-8.97823387888597,50,-6.43535785234128e-05
"57","beta2_ct",-50,-8.48646861978314,50,1.11712382775409e-05
"58","beta2_ct",-50,-8.39455410588895,50,-4.84163477194599e-05
"59","beta2_ct",-50,-7.84469406955688,50,-5.16360024094276e-05
"60","beta2_ct",-50,-7.83800746214158,50,-0.000143408595572936
"61","beta2_ct",-50,-7.88055078320279,50,0.000158343663128058
"62","beta2_ct",-50,-7.76334215086851,50,-4.33184000998565e-05
"63","beta2_ct",-50,-7.5149613642528,50,0.000176524682305779
"64","beta2_ct",-50,-7.89128501488987,50,-8.05031891744079e-05
"65","beta2_ct",-50,-8.16238307191497,50,6.58514013718303e-06
"66","beta2_ct",-50,-7.71834045457122,50,1.88113309764759e-05
"67","beta2_ct",-50,-7.65634359269898,50,-0.000263434468096069
"68","beta2_ct",-50,-7.8701628857898,50,2.16870702955951e-05
"69","beta2_ct",-50,-8.76692995723578,50,-1.04517116947811e-05
"70","beta2_ct",-50,-8.75121068860669,50,5.22722404521225e-05
"71","beta2_ct",-50,-8.24905781425517,50,9.26757416168655e-05
"72","beta2_ct",-50,-8.82042519632545,50,8.13032010187342e-05
"73","beta2_ct",-50,-8.85445482236054,50,5.38848544557879e-05
"74","beta2_ct",-50,-9.06379208393096,50,-0.000246858401660388
"75","beta2_ct",-50,-8.50559104977107,50,-0.000147077099969417
"76","beta2_ct",-50,-8.51864776660869,50,9.37894137265083e-05
"77","beta2_ct",-50,-8.12857548160394,50,4.97516869883974e-05
"78","beta2_ct",-50,-8.32205706998138,50,1.01799467735475e-05
"79","beta2_ct",-50,-8.13634279536562,50,7.79335184031282e-06
"80","beta2_ct",-50,-8.00628203017984,50,3.6605402593537e-05
"81","beta2_ct",-50,-7.79393522771744,50,2.075187400985e-05
"82","beta2_ct",-50,-8.18319562509531,50,1.66352694019878e-05
"83","beta2_ct",-50,-8.76476379089226,50,5.40125586625528e-05
"84","beta2_ct",-50,-8.08820215032895,50,-0.000128459164159711
"85","beta2_ct",-50,-8.57407370357288,50,4.29429750017363e-05
"86","beta2_ct",-50,-8.38792198680372,50,-3.18648802699606e-06
"87","beta2_ct",-50,-8.8725649840597,50,0.000170862689913287
"88","L_omega2_z",-50,-0.766967767221595,50,9.44243683420609e-05
"89","L_epsilon2_z",-50,0.453566183772101,50,-0.000379758801997809
"90","logkappa2",-4.65556949162389,-2.95242703288902,-1.85479472842546,-8.81908533045817e-06
"91","logSigmaM",-50,-0.351558695325478,10,-0.000811854018771818
